,message,timestamp,username,m_length,datetime
2382,"
Great going @sarahhelena.barmer. It's always fun planning with you! 
",06/29/2019 8:54 p.m.,jenashubhangi20,70,2019-06-29 20:54:00
2383,"
~<#CKRQP9ZLL|60daysofudacity>
Day 3: implement the A-star planning algorithm that works on 2D grid-like environments. The goal of this planning routine is to construct a route between the specified start and destination cells.~
 
#60daysofudacity
Day 3:
Implement the A-star planning algorithm that works on 2D grid-like environments. The goal of this planning assignment is to construct a route between the specified start and destination cells.
",06/29/2019 8:55 p.m.,ttech.mdt,448,2019-06-29 20:55:00
2384,"
Day 3:
Today I joined a kaggle competition one of our fellow students has posed over in #resources, in order to apply all the learned knowledge:https://www.kaggle.com/c/aptos2019-blindness-detectionDetect diabetic retinopathy to stop blindness before it's too late
",06/29/2019 8:56 p.m.,dustin.gogoll,266,2019-06-29 20:56:00
2385,"
Day 3:
Completed the project demo for ""Federated learning with Trusted aggregrator"" in Lesson 8.2. Implemented code to train a fully connected 2 layer binary classifier model on a toy dataset using federated learning on remote workers and aggregrating the trained models on a trusted worker. Code uploaded on my github repository https://github.com/amit-rastogi/60DaysofUdacity/blob/master/SecuringFederatedLearning/FederatedLearningWithTrustedAggregrator.ipynb`
{
""cells"": [
{
""cell_type"": ""code"",
""execution_count"": 1,
""metadata"": {},
""outputs"": [
{
""name"": ""stderr"",
""output_type"": ""stream"",
""text"": [
""WARNING:tf_encrypted:Falling back to insecure randomness since the required custom op could not be found for the installed version of TensorFlow (1.13.1). Fix this by compiling custom ops.\n""
]
}
],
""source"": [
""import torch\n"",
""import syft as sy\n"",
""from torch import nn, optim\n"",
""import torch.nn.functional as f""
]
},
{
""cell_type"": ""code"",
""execution_count"": 2,
""metadata"": {},
""outputs"": [],
""source"": [
""class network(nn.Module):\n"",
""    def _init_(self):\n"",
""        super(network, self)._init_()\n"",
""        self.fc1 = nn.Linear(2,2)\n"",
""        self.fc2 = nn.Linear(2,1)\n"",
""    \n"",
""    def forward(self, x):\n"",
""        x = self.fc1(x)\n"",
""        x = f.relu(x)\n"",
""        x = self.fc2(x)\n"",
""        return x\n"",
""\n"",
""final_model = network()""
]
},
{
""cell_type"": ""code"",
""execution_count"": 3,
""metadata"": {},
""outputs"": [],
""source"": [
""hook = sy.TorchHook(torch)\n"",
""\n"",
""bob = sy.VirtualWorker(hook, id=\""bob\"")\n"",
""alice = sy.VirtualWorker(hook, id=\""alice\"")\n"",
""trusted_aggregrator = sy.VirtualWorker(hook, id=\""trusted_aggregrator\"")""
]
},
{
""cell_type"": ""code"",
""execution_count"": 4,
""metadata"": {},
""outputs"": [],
""source"": [
""x = torch.tensor([[1.,2],[2,3],[4,5],[2,4]])\n"",
""y = torch.tensor([[1.],[0],[0],[1]])""
]
},
{
""cell_type"": ""code"",
""execution_count"": 5,
""metadata"": {},
""outputs"": [],
""source"": [
""bob_x = x[0:2].send(bob)\n"",
""bob_y = y[0:2].send(bob)\n"",
""\n"",
""alice_x = x[2:].send(alice)\n"",
""alice_y = y[2:].send(alice)\n"",
""\n"",
""model_bob = final_model.copy().send(bob)\n"",
""model_alice = final_model.copy().send(alice)\n"",
""\n"",
""bob_optim = optim.SGD(model_bob.parameters(), lr=0.003)\n"",
""alice_optim = optim.SGD(model_alice.parameters(), lr=0.003)\n"",
""\n"",
""data_x = [bob_x, alice_x]\n"",
""data_y = [bob_y, alice_y]\n"",
""models = [model_bob, model_alice]\n"",
""optims = [bob_optim, alice_optim]""
]
},
{
""cell_type"": ""code"",
""execution_count"": 6,
""metadata"": {},
""outputs"": [
{
""name"": ""stdout"",
""output_type"": ""stream"",
""text"": [
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.6910)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.6816)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.6687)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.6460)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.6069)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.5471)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.4697)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.3858)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.3097)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.2479)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.2004)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.1648)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.1375)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.1166)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.1009)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0880)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0778)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0695)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0628)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0569)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0521)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0479)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0443)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0411)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0384)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0359)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0337)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0318)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0301)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0285)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0271)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0258)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0246)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0235)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0225)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0216)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0207)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0199)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0192)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0185)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0179)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0172)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0167)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0162)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0157)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0152)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0147)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0143)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0139)\n"",
""Model: <VirtualWorker id:bob #tensors:8> Loss: tensor(0.0135)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6964)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6939)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6933)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6932)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6932)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWorker id:alice #tensors:8> Loss: tensor(0.6931)\n"",
""Model: <VirtualWor…
",06/29/2019 9:04 p.m.,amitrastogi2206,7280,2019-06-29 21:04:00
2386,"
Day 3: Attended PyData meet up, a hands-on
workshop series on Google Cloud Platform with
collaboration with Google.
",06/29/2019 9:04 p.m.,alpeshyadav2518,117,2019-06-29 21:04:00
2387,"
*DAY 3/60:* Started with lesson 6. Having fun. 
",06/29/2019 9:06 p.m.,aman0902pandey,49,2019-06-29 21:06:00
2388,"
Day 2: #60daysofudacity Learning to preprocess the data
",06/29/2019 9:07 p.m.,ayu123shi,57,2019-06-29 21:07:00
2389,"
Day3:resumed the work of day 2 on computer vision and revised MLND program
Worked on slack 3 hrs
Worked on NoSQL
",06/29/2019 9:08 p.m.,prakhar.tripathi2205,114,2019-06-29 21:08:00
2390,"
*Day 3/60 [June 29, 2019]*#60daysofudacity Worked on my Project:
*Federated Learning on MNIST using PyTorch:torch_heart_big: + PySyft* i.e Final Project of Lesson 7: Federated Learning :panda_dance:
Link: https://github.com/gargarchit/Federated-Learning-on-MNIST
Spent nearly 3 hours debugging and therefore *achieved 98.9000% Accuracy*Completed coursework till Lesson 8 Part 4 i.e *Fixing Additive Secret Sharing [Securing Federated Learning]*:andrew: Take part in quiz organized by @rishisridhar96 (Reading Group) *Got 90% Score*:bananadance: Revise Lesson 7 Part 1 to Part 8 {Helps me in Debugging}:done: Updated: https://github.com/gargarchit/60DaysOfUdacity
:bettertogether:Would Like to Encourage @calincan2000, @yemissi.kifouly:yemi:
",06/29/2019 9:12 p.m.,garg4.ag,742,2019-06-29 21:12:00
2391,"
Day 2:
1. Completed the final project of Lesson 8 Securing Federated Learning.
2. Learnt about the various git commands and the concepts behind them.
3. Skimmed through the paper Differentially Private Federated Learning: A Client Level Perspective.@atharva329 and @misa.ogura01, do participate in this challenge.
",06/29/2019 9:12 p.m.,f2014360,315,2019-06-29 21:12:00
2392,"
Thanks for the tip  i'll do it for sure
",06/29/2019 9:20 p.m.,mariaridel,41,2019-06-29 21:20:00
2393,"
*DAY 3/60*: Revising PyTorch (Additional Lessons on DLND) on #60daysofudacity@adhikari.astha5@vikas.aipro@munniomer@xanderfomenko
",06/29/2019 9:21 p.m.,chan_way,131,2019-06-29 21:21:00
2394,"
Day 3/60: Competed on CodeVita Season 8 being held by TCS, had gone through some rigorous competitive environment and as usual, language used is python:python: . Though I haven't scored good but theirs problem statements are quite good, and much more to learn from.#60daysofudacity
",06/29/2019 9:22 p.m.,shuvamkumar71,283,2019-06-29 21:22:00
2395,"
*Day 2*
- Implemented *Project 6: Varying Amounts of Noise* https://github.com/SuHamza/private-ai
- Started studying *The Formal Definition of Differential Privacy* video.
- Today's Takeaway:
""The larger the corpse of information you can work with, the easier it is to add more noise and hence protect more privacy, while still getting an accurate result"". :female-detective::shield:Repo for Udacity's Secure & Private AI courseLanguageJupyter NotebookLast updated12 minutes ago
",06/29/2019 9:23 p.m.,suzan.hamza,480,2019-06-29 21:23:00
2396,"
Day 3 Finished lesson 2! Moved on and started with lesson 3. Really enjoying diving into differential privacy! Planning a virtual meetup with my project group 
Encouraging my wonderful encouragement team @learn556@mikaelaysanchez@anjumercian85 So grateful to have you girls to keep my motivation up  What have you done today, or are you just starting your day? 
",06/29/2019 9:23 p.m.,sarahhelena.barmer,363,2019-06-29 21:23:00
2397,"
Day3/60: Completed chapter 2 (remaining 25 videos)of Intro into Deep learning with pytorch
",06/29/2019 9:25 p.m.,aarthialagammai21,92,2019-06-29 21:25:00
2398,"
Awesome!  What's your project on??
I've done all sorts today! I found that the timetable I made was quite helpful 
Mandarin, course material, DBS application sorted (for my summer job) and now working another one of my courses 
I'd love to keep working on this scholarship course but I want to make time for everything 
",06/29/2019 9:27 p.m.,mikaelaysanchez,321,2019-06-29 21:27:00
2399,"
*Day 3 at a Glance:*
• Continued with the PATE analysis paper and Noiseless Database Privacy
• Lesson -5 completed.
• Implemented all the basic data structures and algorithms with the python and moving myself towards ml essentials. (Being more pythonic)
• Switched to python and challenged myself on some of the famous problems of Hackerearth.
• Started my exploration on ""Composition Theorems"".
• Looking for a Virtual Meetup.
*“Construct your determination with Sustained Effort, Controlled Attention, and Concentrated Energy.  Opportunities never come to those who wait… they are captured by those who dare to attack.”*
– Paul J. Meyer
We are on the Day-3 @arkachkrbrty@george.christ1987@labknr98@jenashubhangi20@haripoornithra@honeyjindgar
Stay focused! Stay Determined!
Go! Go! Go! Go! Go! Go! Go!
",06/29/2019 9:28 p.m.,ash3ax,804,2019-06-29 21:28:00
2400,"
*#60daysofudacity Day 3*
1. Narrowed project topic down to *sports or betting analytics* as side project topic, which will involve PyTorch, deep learning techniques, plus some form of decentralized federated learning using multiple servers on GCP. The goal is to mix and match as many concepts covered by A. Trask in the videos and notebooks as possible. Planning to use only 3 servers in the network initially.
2. Going through Kaggle competition's SIIM Cloud Healthcare API tutorial to set up system in preparation for submission of model and predictions: https://www.kaggle.com/c/siim-acr-pneumothorax-segmentation/overview/siim-cloud-healthcare-api-tutorial
3. Have set up GCP account for Kaggle competition. Studying how to download the data files next.
4. Skimmed through the PySyft tutorials in preparation for diving deeper into the notebooks for insights: https://github.com/OpenMined/PySyft/tree/dev/examples/tutorialsIdentify Pneumothorax disease in chest x-rays
",06/29/2019 9:29 p.m.,krisastern,975,2019-06-29 21:29:00
2401,"
@mikaelaysanchez It will be in CV  What project are you working on Mika? 
Yeees we need more hours in the day ey  Can so relate to that! But you made a really good time table and you have a great structure! The sky is the limit for you Mika :hero:
",06/29/2019 9:30 p.m.,sarahhelena.barmer,249,2019-06-29 21:30:00
2402,"
day 3:  finished lesson 3
looking into secure AI projects to start
brushed up on python for datascience
",06/29/2019 9:30 p.m.,aysha.kamal7,105,2019-06-29 21:30:00
2403,"
No problem @ltruncel Thank you for the congrats! 
",06/29/2019 9:30 p.m.,mikaelaysanchez,51,2019-06-29 21:30:00
2404,"
Day 2/60 :all_the_things: Lesson 2.15 Classifying Fashion-MNIST(I'm focusing on more concepts!) making notes helping a lot to revise. made a twitter bot @60daysofudacity
Encouraging @bola_fah.97@aya.k.yousefhttps://twitter.com/60daysofudacity
",06/29/2019 9:30 p.m.,adventuroussrv,244,2019-06-29 21:30:00
2405,"
Day 1: [June 29, 2019]#60daysofudacity
Made pytorch baseline model submission for the following Kaggle competitions:
- Generative Dog Images
- APTOS 2019 Blindness Detection
- SIIM-ACR Pneumothorax Segmentation
- Recursion Cellular Image Classification
Create pytorch-based NN regression model for this competition:
- Predicting Molecular Properties
",06/29/2019 9:32 p.m.,aisaac.tirona,351,2019-06-29 21:32:00
2406,"
That's so cool @sarahhelena.barmer! I'm working on the CV aspect of the drone competition, while my boyfriend works on the path planning aspect of the competition we joined, actually. I don't currently have any projects in relation to this course but I will start or join when I have more free time, I think. 
Haha there's never enough time, am I right?
Thank you so much! Same for you, tbh! You're always inspiring me :hero:
",06/29/2019 9:34 p.m.,mikaelaysanchez,427,2019-06-29 21:34:00
2407,"
Thank you stark! For your everyday encouragement!  Although I am gonna take a break for today.  because of my thesis.
",06/29/2019 9:37 p.m.,labknr98,119,2019-06-29 21:37:00
2408,"
@labknr98 Best of luck for your thesis! I've looked at your presentation and the topic is really good. Hope everything will go well for you guys!
",06/29/2019 9:38 p.m.,ash3ax,147,2019-06-29 21:38:00
2409,"
Day 3:
1. Rewatched neural networks videos from the start again. I like to rewatch old videos so as to keep them fresh in my mind
2. Talked to potential project partners
",06/29/2019 9:39 p.m.,kengying5,171,2019-06-29 21:39:00
2410,"
thank you so much @ash3ax and hopefully things will go well 
",06/29/2019 9:39 p.m.,labknr98,62,2019-06-29 21:39:00
2411,"
Day 3: #60daysofudacity
1. Started reading paper Differentially Private Federated Learning: A Client Level Perspective and hoping to finish it by Monday.
2. Learning Pytorch for NLP usecase
",06/29/2019 9:39 p.m.,drcjudelhi,191,2019-06-29 21:39:00
2412,"
#60daysofudacity
Day 2/60: Completed the projects based on implementing Local differential privacy and varying the amount of noise. Going through an interesting paper on real life implementation of Local differential privacy.
Link:https://scholar.google.co.in/scholar?hl=en&as_sdt=0%2C5&q=local+differential+privacy&oq=local+differential+p#d=gs_qabs&u=%23p%3DsUiVNecHx7AJ Worked out some unfinished exercises of Kaggle SQL summer camp day 3.
",06/29/2019 9:43 p.m.,sid.panda99,443,2019-06-29 21:43:00
2413,"
@mikaelaysanchez You must let me know how the drone competition goes!!!  Where can I follow this project of yours?
You are inspiring me too :hero: What a great team! 
",06/29/2019 9:44 p.m.,sarahhelena.barmer,168,2019-06-29 21:44:00
2414,"
Day 1: #60daysofudacity
Missed few days of activity due to job related work. Today I've started in the 60 days code challenge Learned about Differential Privacy Finished Lesson 4 Created hangout group to start online learning daily -Please fill this form if you're interested. Timings 9.30-10.30pm IST(4-pm GMT) https://forms.gle/PaR5iJXtQvdh8oDT9Connecting on Hangouts daily ,9.30 pm to 10.30 pm IST (4 PM to 5 PM GMT)
",06/29/2019 9:46 p.m.,mish.shubh,421,2019-06-29 21:46:00
2415,"
#Day 2
(Sorry I was caught up in some issues yesterday. So I am posting both days today)
1. Learned lesson 2 till how to make your own model in pytorch.
(I was going through the articles about back propagation and gradient descent)
2. Watched neural network example videos.
#Day 3
1. Tried to make digit recognition classifier with neural network using pytorch. (Really had a hard time struggling with how it goes on in pytorch.. Like I only had idea of how it is done in keras)
#really hope to do some kaggle competition from tomorrow onwards. Looking forward to the upcoming days. And also too excited.
Be motivated guys:@vikas.aipro@munniomer@xanderfomenko@chan_way
",06/29/2019 9:47 p.m.,adhikari.astha5,670,2019-06-29 21:47:00
2416,"
*#Day3* #60daysofudacity
1. Completed 1st Lesson Of Intro to Deep Learning course
2.Watched Few Videos Of Essence of Linear Algebra from *3Blue1Brown* YouTube channel.
3. Revision of Lesson 2 And 3.
That's It for today. Happy learning Happy weekend
",06/29/2019 9:48 p.m.,akshayapsangi123,250,2019-06-29 21:48:00
2417,"
Day 3/60 of #60daysofudacity:
I’m starting lesson 8 with enthusiasm!
This day is kinda busy for me, but I hope I can finish all videos today. :crossed_fingers::skin-tone-2::skin-tone-2:
",06/29/2019 9:49 p.m.,alejandro.aristizabal,187,2019-06-29 21:49:00
2418,"
DAY 3/60:
•	Continuing with lesson 4.
•	Working on an article based on Transfer Learning
•	Encouraging @mhmohona@jabertuhin@emon535@ferdib.bsmrstu@nazmulshuvo03 for doing so.
",06/29/2019 9:50 p.m.,riday467366,176,2019-06-29 21:50:00
2419,"
I just started the challenge today. You've done great reaching Lesson 8, let's hope we're able to contribute daily 
",06/29/2019 9:50 p.m.,mish.shubh,117,2019-06-29 21:50:00
2420,"
Day 3/60 29.06.2019
1. Completed videos of lesson 4
2. Read upto 3.5.3 (page 53) of the book 'the algorithmic foundations of differential privacy'
3. Took a quiz created by @rishisridhar96
4. Studied tensor attributes and torch.Tensor
I encourage @nishant.bharatindia@patilashwini204@sophie713713 to do their best :hero: :penguin_dance:
",06/29/2019 9:50 p.m.,sayalikutwal26,338,2019-06-29 21:50:00
2421,"
*#Day2* #60daysofudacity
Ended lesson 5!
Move forward:@xavier.orourke@jeidsanpereira!
",06/29/2019 9:51 p.m.,gamersav1822,87,2019-06-29 21:51:00
2422,"
Day 3:
1. I completed lesson 4 and jumped into lesson 5
2. I learnt about transfer learning and how to implement it in PyTorch
3. Enhanced my LinkedIn profile and just kind of making ready for placements season 
",06/29/2019 9:51 p.m.,harshith.hr11,213,2019-06-29 21:51:00
2423,"
Day 2 @ #60daysofudacity:
1. Finished final project for Lesson 7.
2. Took @rishisridhar96’s quiz. Sucked my ass at 50/100 because I didn’t bloody-check my answers before even submitting :rolling_on_the_floor_laughing:
3. Finished learning all content in Lesson 8. Just need to get the final project going tomorrow ’cuz I need some charging… 
",06/29/2019 9:51 p.m.,baskoroindrayana,343,2019-06-29 21:51:00
2424,"
Day 1 #60daysofudacity
1. Took the pledge to be regular for 60 days of udacity.
2. Started working for my project based on deep Learning
3. Completed Lesson 4
4. All set to organise my very first delhi data minded virtual meetup with @sakshivij12  ..
Those who want to attend the Data Minded Delhi meetup can fill this form..https://docs.google.com/forms/d/e/1FAIpQLScGguqwBPx_z2rXHlkgc71LMiaWKrjApl2BtcOX67drUgDupw/viewform?usp=sf_link
",06/29/2019 9:53 p.m.,samshashcool,438,2019-06-29 21:53:00
2425,"
Day1 @ #60daysofudacity
1. Had meetup in mumbai
2. Started with Lesson2
",06/29/2019 9:54 p.m.,bhavik.kawli,73,2019-06-29 21:54:00
2426,"
Day 3
1. Started with Intro to Pytorch by Udacity
2. Started on Kaggle for Emotion Detection competition
3. Attended a virtual meetup with my local regional group w/ @ahkhalwai55@khandelwalcibaca@bow1226@rohitsahoo852
4. Sent invitations for meetup 5 with #wmn_who_code channel that I'll co-host with @sarahhelena.barmer!  See you all on Sunday!
5. Shared an encouragement post on #busy_or_overwhelmed channel to encourage all the busy 
I encourage @aarthialagammai21@bharati.frnds today!
How's it going, guys?#60daysofudacity
",06/29/2019 9:58 p.m.,jenashubhangi20,528,2019-06-29 21:58:00
2427,"
Day 3: Worked on Pandas regex, revisited Pytorch exercises https://github.com/forfireonly/Pytorch
Sending encouragement to @mary.romanenko and my study buddy @vigneshwari.ramakrish!:panda_dance:LanguageJupyter NotebookLast updated6 minutes ago
",06/29/2019 10:04 p.m.,workwithpurpose,245,2019-06-29 22:04:00
2428,"
Day 3 of #60daysofudacity
Hey everyone! The productivity in this channel is simply off the charts :100: 
So here's my update for the day
Day 3:
1. Coded kaggle sql for AI summer boot camp day 3
2. Troubling myself with 3D neural style transfer
3. Met fellow Mumbai scholars at the very first Mumbai Meet-up! (had a very bad commute due to trains and rains)
I would like to encourage fellow scholars @khandelwalcibaca@ahkhalwai55 and @hitoishi.das to keep contributing and nailing the #60daysofudacity challenge 
#shivamout
",06/29/2019 10:05 p.m.,shivamraisharma,524,2019-06-29 22:05:00
2429,"
Day 3:
1 completed from part 2 to part 6 of lesson 2
2. Preparing for virtual meet up with local scholars.
4. Planning for group projects
",06/29/2019 10:13 p.m.,sharmin.cse1.bu,139,2019-06-29 22:13:00
2430,"
Day 3 using the skills learnt in kaggle titanic survival prediction.
",06/29/2019 10:14 p.m.,oshosingh25,70,2019-06-29 22:14:00
2431,"
#Day3 - Meetup Time! 1/2
>> Today, I am joining the WTMsummit Europe of Google for tech organization leaders, taking place in Warsaw. Very crazy time. Meeting awesome people here! Currently talking to a Machine Learning Engineer about tensorflow and his experience. Anyone here working with tensorflow next to pytorch?
Tagging @jonathan.souied and @rosiemin11 today.
",06/29/2019 10:15 p.m.,sabrinajodexnis,368,2019-06-29 22:15:00
2432,"
@rosiemin11 has joined the channel
",06/29/2019 10:15 p.m.,rosiemin11,36,2019-06-29 22:15:00
2433,"
@jonathan.souied has joined the channel
",06/29/2019 10:15 p.m.,jonathan.souied,41,2019-06-29 22:15:00
2434,"
Thanks, bru! 
",06/29/2019 10:16 p.m.,xanderfomenko,15,2019-06-29 22:16:00
2435,"
Day : Had a short meetup with @vbreddy804 after the event Google Cloud Jam which he organised in his college
1. We discussed our progress in the challenge course and shared our idea of doing projects
2.  We planned to meet tomorrow to discuss *OpenMined* meetup at Bangalore with one of the developer in the OpenMined communityThe event emphasized the importance of Cloud and Machine learning
I would like to encourage @vanshbadkul@mcd95alm to start off with #60daysofudacity challenge, Happy Learning!
",06/29/2019 10:18 p.m.,nabhu123,504,2019-06-29 22:18:00
2436,"
Day 3:
1. Completed part 3&4 of Lesson 4
2. Learnt some data pre-processing techniques as a part of my ongoing goal to learn Deep Learning.
",06/29/2019 10:20 p.m.,balivadask2000,141,2019-06-29 22:20:00
2437,"
#Day3 - #60daysofudacity
-  Completed Lesson 2 - Part 3 Notebook - Training Neural Networks
- #TypedEverything, #NoCopyPasting
-  Github Link : https://github.com/SamratPyaraka/60daysOfUdacity/blob/master/Day%203%20-%20Training%20Neural%20Networks.ipynb
- I encourage @jdevivaraprasadreddy7, @kumarprabhu244 and @kravishankar474 to complete this challenge
",06/29/2019 10:20 p.m.,samrat.pyaraka,357,2019-06-29 22:20:00
2438,"
Awesome @smogal95 ! 
",06/29/2019 10:21 p.m.,sabrinajodexnis,22,2019-06-29 22:21:00
2439,"
Day 3:
1.) Completed lesson 4
2.) Worked on CIFAR -10 database got an accuracy of 70%
3.) Started to work on kaggle competition( https://www.kaggle.com/c/aptos2019-blindness-detection)Detect diabetic retinopathy to stop blindness before it's too late
",06/29/2019 10:21 p.m.,aniketthomas27,252,2019-06-29 22:21:00
2440,"
Same!
",06/29/2019 10:21 p.m.,shivamraisharma,7,2019-06-29 22:21:00
2441,"
(Deleted)
",06/29/2019 10:22 p.m.,stwtdey1,11,2019-06-29 22:22:00
2442,"
Day 2 => coded for CNN model for cell microscopic image recognition using pytorch in kaggle kernel
",06/29/2019 10:24 p.m.,ts.tejinder97,100,2019-06-29 22:24:00
2443,"
*#DAY 3:* Completed : Project -VI : https://github.com/souravs17031999/private-ai/blob/master/adding_laplacian_noise_global_diff_privacy.ipynb I learnt to implement global differential privacy in the database by adding laplacian noise to the output of query function and how it affects the statistics.Completed the #l4_loc_glob_diff_priv I learnt how to add random noise either in the input of the data points or in the output of the query function and then analysing epsilon and delta parameter from formal definition of differential privacy. Collected 8 questions for #l2_intro_diff_privacy  for fatqs - secure and private ai.
Moving onto #l5_diff_privacy_dl .
Today i would like to encourage @artistritul1995 and @jaintj95 to follow along this path.
",06/29/2019 10:24 p.m.,sauravkumarsct,754,2019-06-29 22:24:00
2444,"
",06/29/2019 10:25 p.m.,nabhu123,1,2019-06-29 22:25:00
2445,"
Day 3
Finished Lesson 5
Improved my previous implementation of Differentially private query.
Couldn't do much today since I was preparing for my internship which begins on Monday
I was contacted by @prthsharma753 with the invitation to form a team. We would probably need more members so please reach out if you want to group up!
",06/29/2019 10:27 p.m.,stwtdey1,331,2019-06-29 22:27:00
2446,"
Hi @sauravkumarsct, way to go!
Can the community members update the fatqs?
",06/29/2019 10:27 p.m.,nabhu123,76,2019-06-29 22:27:00
2447,"
*#Day2 Completed!*I completed lesson 3 and lesson 4! I watched the videos, code the mini-projects related to these lessons.In addition, I spent some time in slack reading, helping and being helped by others! Amazing community. Found and watched this video about *The definition of Differential Privacy*, by Cynthia Dwork, who was mentioned in the lesson. Reccomended.
:celebrate::celebrate::celebrate: I encourage @sauravkumar3681 to continue learning day a day and @andreiliphd with his non-stop learning and remote-job hunting  Come on guys!
*#60daysofudacity*
",06/29/2019 10:27 p.m.,alexdomla,564,2019-06-29 22:27:00
